sentence,labels
Legalization of marijuana could eventually lead to the legalization of harder drugs or all drugs altogether .,['DRUG_POLICY']
"The prolegalization forces say they aim to create a regulated and taxed market , removing marijuana sales from the criminal sphere .",['DRUG_POLICY']
It is time to actually start controlling marijuana in Massachusetts through the type of taxed and regulated system that is working well in Colorado and other states .,['DRUG_POLICY']
"As the Timeseditorials make plain , legalization is prudent , humane policy , and it is past time for the federal government to act .",['DRUG_POLICY']
"Robert W. Sweet , a federal judge , strongly agrees : "" The present policy of trying to prohibit the use of drugs through the use of criminal law is a mistake "" .",['DRUG_POLICY']
"After all , there is nothing to regulate what is sold and no way to sue anyone for product liability .",['DRUG_POLICY']
“ The government ’s efforts to combat illegal drugs have been a total failure . ”,['DRUG_POLICY']
Researchers at Harvard-affiliated McLean Hospital found members of a religious group regularly using peyote scored significantly better on several measures of overall mental health than did subjects who did not use the hallucinogen .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"Even though you can not count it as a health benefit , it should be taken as a positive mental effect that spurs creativity in the brain and helps you find new ideas .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
Do we really need to add yet another mind-altering substance to the array ?,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"And , so , conversely , what we are winding up with is a generation of burgeoning adults who have no idea why they have so much anxiety ( when they are n't high ) or why it is practically impossible for them to relate to other people ( unless they ' re high ) .",['HEALTH/PSYCHOLOGICAL_EFFECTS']
Increased drug use leads to negative health effects .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
It affects your judgment and motor skills and in the long term it makes you lazy . ”,['HEALTH/PSYCHOLOGICAL_EFFECTS']
They say it makes you calm down and feel good .,['HEALTH/PSYCHOLOGICAL_EFFECTS']
"A world where instead of drinking cheap beer , a hopeful political candidate can roll a joint to seem like the "" people ' s choice "" does n't have to seem crazy .",['LEGAL_DRUGS']
"But neither are there such answers about tobacco or alcohol , and we believe that on every level — health effects , the impact on society and law-and-order issues — the balance falls squarely on the side of national legalization .",['LEGAL_DRUGS']
"Legalizing marijuana will end that violence , much like ending alcohol prohibition ended the violence of the illegal alcohol economy .",['LEGAL_DRUGS']
She likens it to making alcohol or cigarettes ten times stronger .,['LEGAL_DRUGS']
"Like sex , alcohol , or cigarettes , marijuana is one of life ' s little pleasures for some people .",['LEGAL_DRUGS']
"Many anti-prohibition activists focus on the well-documented dangers of alcohol ( such as alcoholism , cystisis , domestic violence , brain and liver damage ) .",['LEGAL_DRUGS']
They decided that these unintended side effects far outweighed whatever harms Prohibition prevented by discouraging drinking .,['LEGAL_DRUGS']
"The United Nations Office of Drugs and Crime has also acknowledged the many "" unintended negative consequences "" of drug enforcement .",['COMMUNITY/SOCIETAL_EFFECTS']
"I think that we have the opportunity through the states that are pursuing recreational marijuana to find out a lot more than we know today ... So , I think we ' re just at the beginning , but I agree completely with the idea that we have got to stop imprisoning people who use marijuana .",['COMMUNITY/SOCIETAL_EFFECTS']
"Six times as many homicides are committed by people under the influence of drugs , as by those who are looking for money to buy drugs .",['COMMUNITY/SOCIETAL_EFFECTS']
"If one views incarceration as a public health issue , then legalization could have a positive result .",['COMMUNITY/SOCIETAL_EFFECTS']
"Legalization of marijuana would further shift the culture to more of a "" anything goes "" mentality .",['COMMUNITY/SOCIETAL_EFFECTS']
"It is reaffirmed by several studies that have linked marijuana use to criminal behavior , unemployment , lower incomes , greater welfare dependence , and lower life satisfaction .",['COMMUNITY/SOCIETAL_EFFECTS']
"These arrests take officers away from more urgent issues , and can have serious consequences for the arrested .",['COMMUNITY/SOCIETAL_EFFECTS']
Others believe it helps in the treatment of depression .,['MEDICAL_MARIJUANA']
Marijuana is used to alleviate a lot of medical ailments .,['MEDICAL_MARIJUANA']
The drug also helps with people who have loss of appetite due to diseases such as HIV / AIDS .,['MEDICAL_MARIJUANA']
They say that medical marijuana is a front for drug legalization and recreational use .,['MEDICAL_MARIJUANA']
It has also been proven many times over and over again as well as it being used by doctors to help patients fighting cancer .,['MEDICAL_MARIJUANA']
"HIV / AIDS - Increases appetite in patients experiencing severe weight loss , eases neurological symptoms .",['MEDICAL_MARIJUANA']
There have been a handful of polls over the last year and all of them show overwhelming support for medical marijuana .,['MEDICAL_MARIJUANA']
"In Australia , a study found that cannabis intoxication was responsible for 4.3 % of driver fatalities .",['DRUG_ABUSE']
"^ "" Impaired Driving "" .",['DRUG_ABUSE']
Then there is the somewhat conflicting evidence on the dangers of people operating motor vehicles after using marijuana .,['DRUG_ABUSE']
"Mowrey ' s theory regarding "" stoned drivers "" omits the fact that the RTMA states specifically that "" driving while impaired by marijuana remains illegal . """,['DRUG_ABUSE']
The study noted that some of the drivers who tested positive may have last used marijuana “ several hours or even days prior to the crash . ”,['DRUG_ABUSE']
"“ We get all of our money for these campaigns from individual donors , many people who lost family members to drug abuse , including from marijuana , ” Sabet said .",['DRUG_ABUSE']
"Because marijuana metabolites can remain in a body for days or even weeks after use , we have no accurate way of telling if those people were legally impaired by marijuana at the time of the fatal accident .",['DRUG_ABUSE']
""" Students suck on lollipops between classes , go into class stoned , learn nothing , and teachers are increasingly helpless .",['CHILD_AND_TEEN_SAFETY']
Keeping marijuana illegal will undoubtedly keep many young people from using it .,['CHILD_AND_TEEN_SAFETY']
It cites recent students that it says has shed light on the risks marijuana use poses to brain development in youth and the dangers of accessibility of recreational marijuana in the home .,['CHILD_AND_TEEN_SAFETY']
Would you want your kids regularly smoking pot ?,['CHILD_AND_TEEN_SAFETY']
Using and buying marijuana would still be illegal for anyone under 21 .,['CHILD_AND_TEEN_SAFETY']
"Heavy recreational use of cannabinoids can adversely affect the brains of young people – that is , pre-adolescents to those in their early 20s – probably related to the continuing development of brain structures and functions in that age group .",['CHILD_AND_TEEN_SAFETY']
Educators know that students using marijuana underperform when compared to their non-using peers .,['CHILD_AND_TEEN_SAFETY']
Statewide revenue from dedicated pot taxes easily topped the money from alcohol taxes .,['NATIONAL_BUDGET']
"Legalization advocates claim that the move will provide police officers more money and time to go after criminals committing other crimes , such as violence .",['NATIONAL_BUDGET']
This legalize and tax argument is un-ethical and uneconomical .,['NATIONAL_BUDGET']
That money can go towards public school construction .,['NATIONAL_BUDGET']
It generates tax revenue .,['NATIONAL_BUDGET']
