response,model,created_at,done_reason,total_duration,load_duration,prompt_eval_count,prompt_eval_duration,eval_count,eval_duration,input_text,gold_label,label_count,mentioned_labels
"ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:40:12.744820019Z,stop,387083339,56041883,684,80189000,7,160622000,"The ongoing and deepening nuclear calamity in Fukushima and Japan ’s abiding commitment to nuclear power , including the ability to reprocess spent nuclear fuel and generate plutonium , is therefore an outgrowth of imperial power plays at the end of the Second World War .","['ENERGY_POLICY', 'ACCIDENTS/SECURITY']",1,['ACCIDENTS/SECURITY']
"The correct labels are WEAPONS, TECHNOLOGICAL_INNOVATION 
",gemma2:27b,2024-09-12T20:40:13.379763043Z,stop,583867658,58190218,678,79154000,16,401157000,"In practice , there is no way to segregate nuclear technologies employed for “ peaceful ” purposes from technologies that may be employed in weapons — the former may be , and have been , transformed into the latter . """,['WEAPONS'],2,"['TECHNOLOGICAL_INNOVATION', 'WEAPONS']"
"The correct labels are HEALTH_EFFECTS 


",gemma2:27b,2024-09-12T20:40:13.875181702Z,stop,447496524,69921709,664,63075000,11,267916000,Read CND 's summary of the German government-commissioned research that shows increases in cancer in children under five living near nuclear power stations .,['HEALTH_EFFECTS'],1,['HEALTH_EFFECTS']
"The correct label is COSTS 
",gemma2:27b,2024-09-12T20:40:14.271611013Z,stop,348040904,55702814,664,60800000,8,187567000,"Swiss utility BKW AG already plans to shutter Muehleberg in 2019 , citing the high costs of maintenance and operations .",['COSTS'],1,['COSTS']
"The correct labels are WEAPONS  and ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:40:14.899040212Z,stop,579480304,54547654,678,78746000,16,400769000,"Today , the nuclear stockpile of the United States , which stands at over 7,000 warheads — some of which are still kept in permanent readiness — could alone destroy planetary life several times over .",['WEAPONS'],2,"['WEAPONS', 'ACCIDENTS/SECURITY']"
"The correct label is HEALTH_EFFECTS 

",gemma2:27b,2024-09-12T20:40:15.45846887Z,stop,466640928,55843318,653,55842000,11,267370000,"Moreover , one in five uranium miners in the Southwest has contracted some form of cancer .",['HEALTH_EFFECTS'],1,['HEALTH_EFFECTS']
"The correct labels are RELIABILITY, FOSSIL_FUELS 
",gemma2:27b,2024-09-12T20:40:16.112225098Z,stop,647583008,55222841,685,76030000,17,428426000,"The amount of Uranium on the earth is n’t NEARLY enough to sustain us for long enough to relieve the need of fossil fuels , we ’re talking no more than 80 years for the remaining Uranium to be mined and used .","['RELIABILITY', 'FOSSIL_FUELS']",2,"['RELIABILITY', 'FOSSIL_FUELS']"
"The correct label is  WEAPONS 
",gemma2:27b,2024-09-12T20:40:16.631270096Z,stop,427163661,58295401,656,57997000,11,267053000,"All traded uranium is sold for electricity production only , and two layers of international safeguards arrangements confirm this .",['WEAPONS'],1,['WEAPONS']
"The correct label is ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:40:17.127841386Z,stop,447877746,55545351,689,80857000,11,267582000,"The Diablo Canyon plant , located 200 miles northwest of Los Angeles near Santa Barbara , was built in 1968 near two fault lines , one three miles off the coast that suffered a 7.1 earthquake in 1926 .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
"The correct label is ACCIDENTS/SECURITY 
",gemma2:27b,2024-09-12T20:40:17.603426274Z,stop,423434455,60177100,651,51999000,11,268074000,"Since then , it has proven itself as one of our safest energy technologies .",['ACCIDENTS/SECURITY'],1,['ACCIDENTS/SECURITY']
